player,team,position,goals,assists
Kylian Mbappé,France,FW,8,3
Lionel Messi,Argentina,FW,8,1
Erling Haaland,Norway,FW,7,0
Harry Kane,England,FW,6,1
Ousmane Dembélé,France,FW,5,2
Vinícius Júnior,Brazil,FW,4,1
Julián Quiñones,Mexico,FW,4,1
Jude Bellingham,England,MF,4,0
Mikel Oyarzabal,Spain,FW,4,0
Ismaïla Sarr,Senegal,FW,4,0
Kai Havertz,Germany,FW,3,0
Elijah Just,New Zealand,FW,3,0
Deniz Undav,Germany,FW,3,2
Johan Manzambi,Switzerland,FW,3,0
Brian Brobbey,Netherlands,FW,3,0
Raúl Jiménez,Mexico,FW,3,0
Folarin Balogun,United States,FW,3,0
Yoane Wissa,Democratic Republic of the Congo,FW,3,0
Romelu Lukaku,Belgium,FW,3,0
Matheus Cunha,Brazil,FW,3,0
Ismael Saibari,Morocco,MF,3,0
Jonathan David,Canada,FW,3,0
Cody Gakpo,Netherlands,FW,3,0
Cristiano Ronaldo,Portugal,FW,3,0
Anthony Elanga,Sweden,,2,0
Emam Ashour,Egypt,,2,0
Y. Wissa,Democratic Republic of the Congo,,1,0
Kalb Iirnki,Ghana,,1,0
Aldvr Shvmvrvdvf,Uzbekistan,,1,0
Abas Bk Fiz Allh Af,Uzbekistan,,1,0
Braian Sipnga,Democratic Republic of the Congo,,1,0
Al Rashdan,Jordan,,1,0
Gvnchalv Ramvs,Portugal,,1,0
J. Neves,Portugal,,1,0
Mvsi Altmari,Jordan,,1,0
Ali Avlvan,Jordan,,1,0
Aymen Hussein,Iraq,,1,0
Drik Lvkasn,Ghana,,1,0
Ramin Rezaeian,Iran,,1,0
Fin Svrman,New Zealand,,1,0
Ali Jast,New Zealand,,1,0
Ante Budimir,Croatia,,1,0
Ivan Perišić,Croatia,,1,0
Dnil Mvnvz,Colombia,,1,0
Jan Arias,Colombia,,1,0
Taplv Maskv,South Africa,,1,0
Leroy Sané,Germany,,1,0
Daizen Maeda,Japan,,1,0
Kaishū Sano,Japan,,1,0
Thelo Aasgaard,Norway,,1,0
Maximiliano Araújo,Uruguay,,1,0
Álex Baena,Spain,,1,0
Mikel Merino,Spain,,1,0
Kvdi Khakpv,Netherlands,,1,0
I. Mbaye,Senegal,,1,0
B. Khoukhi,Qatar,,1,0
Abdulelah Al-Amri,Saudi Arabia,,1,0
Khvliv Ansisv,Paraguay,,1,0
“J. Quiñones 9'”,Mexico,,1,0
”R. Jiménez 67'”,Mexico,,1,0
Luis Romo,Mexico,,1,0
Jvlian Kviinvnz,Mexico,,1,0
L. Krejčí,Czech Republic,,1,0
‫mikhal Sadilk 6,Czech Republic,,1,0
C. Larin,Canada,,1,0
Prvmis Divid,Canada,,1,0
Astfan Avstakviv,Canada,,1,0
Jovo Lukić,Bosnia and Herzegovina,,1,0
Armin Mhmich,Bosnia and Herzegovina,,1,0
Maurício,Paraguay,,1,0
Matías Galarza,Paraguay,,1,0
J. McGinn,Scotland,,1,0
Mahmoud Saber,Egypt,,1,0
V. Júnior,Brazil,,1,0
I. Saibari,Morocco,,1,0
Asmaail Saibari,Morocco,,1,0
Issa Diop,Morocco,,1,0
Hassan Al-Haydos,Qatar,,1,0
Breel Embolo,Switzerland,,1,0
A. Diallo,Ivory Coast,,1,0
Franck Kessié,Ivory Coast,,1,0
Amad Diallo,Ivory Coast,,1,0
L. Comenencia,Curaçao,,1,0
O. Rekik,Tunisia,,1,0
Hazm Mstvri,Tunisia,,1,0
Mohamed Hany,Belgium,,1,0
Malik Tillman,United States,,1,0
