group,team,rank,points,matches_played,wins,draws,losses,goals_for,goals_against,goal_diff
A,Mexico,1,9,3,3,0,0,6,0,6
A,South Africa,2,4,3,1,1,1,2,3,-1
A,South Korea,3,3,3,1,0,2,2,3,-1
A,Czech Republic,4,1,3,0,1,2,2,6,-4
B,Switzerland,1,7,3,2,1,0,7,3,4
B,Canada,2,4,3,1,1,1,8,3,5
B,Bosnia and Herzegovina,3,4,3,1,1,1,5,6,-1
B,Qatar,4,1,3,0,1,2,2,10,-8
C,Brazil,1,7,3,2,1,0,7,1,6
C,Morocco,2,7,3,2,1,0,6,3,3
C,Scotland,3,3,3,1,0,2,1,4,-3
C,Haiti,4,0,3,0,0,3,2,8,-6
D,United States,1,6,3,2,0,1,8,4,4
D,Australia,2,4,3,1,1,1,2,2,0
D,Paraguay,3,4,3,1,1,1,2,4,-2
D,Turkey,4,3,3,1,0,2,3,5,-2
E,Germany,1,6,3,2,0,1,10,4,6
E,Ivory Coast,2,6,3,2,0,1,4,2,2
E,Ecuador,3,4,3,1,1,1,2,2,0
E,Curaçao,4,1,3,0,1,2,1,9,-8
F,Netherlands,1,7,3,2,1,0,10,4,6
F,Japan,2,5,3,1,2,0,7,3,4
F,Sweden,3,4,3,1,1,1,7,7,0
F,Tunisia,4,0,3,0,0,3,2,12,-10
G,Belgium,1,5,3,1,2,0,6,2,4
G,Egypt,2,5,3,1,2,0,5,3,2
G,Iran,3,3,3,0,3,0,3,3,0
G,New Zealand,4,1,3,0,1,2,4,10,-6
H,Spain,1,7,3,2,1,0,5,0,5
H,Cape Verde,2,3,3,0,3,0,2,2,0
H,Uruguay,3,2,3,0,2,1,3,4,-1
H,Saudi Arabia,4,2,3,0,2,1,1,5,-4
I,France,1,9,3,3,0,0,10,2,8
I,Norway,2,6,3,2,0,1,8,7,1
I,Senegal,3,3,3,1,0,2,8,6,2
I,Iraq,4,0,3,0,0,3,1,12,-11
J,Argentina,1,9,3,3,0,0,8,1,7
J,Austria,2,4,3,1,1,1,6,6,0
J,Algeria,3,4,3,1,1,1,5,7,-2
J,Jordan,4,0,3,0,0,3,3,8,-5
K,Colombia,1,7,3,2,1,0,4,1,3
K,Portugal,2,5,3,1,2,0,6,1,5
K,Democratic Republic of the Congo,3,4,3,1,1,1,4,3,1
K,Uzbekistan,4,0,3,0,0,3,2,11,-9
L,England,1,7,3,2,1,0,6,2,4
L,Croatia,2,6,3,2,0,1,5,5,0
L,Ghana,3,4,3,1,1,1,2,2,0
L,Panama,4,0,3,0,0,3,0,4,-4
