team,matches_played,wins,draws,losses,goals_for,goals_against,goal_diff,points,market_value,coach,yellow_cards,red_cards,fouls,fair_play_score
France,6,6,0,0,16,2,14,18,1520000000,Didier Deschamps,6,0,45,6
Argentina,5,5,0,0,14,5,9,15,807000000,Lionel Scaloni,4,0,88,4
England,5,4,1,0,11,5,6,13,1360000000,Gareth Southgate,7,0,54,7
Spain,5,4,1,0,9,0,9,13,1220000000,Luis de la Fuente,5,0,40,5
Mexico,5,4,0,1,10,3,7,12,265000000,Jaime Lozano,5,0,42,5
Norway,5,4,0,1,12,9,3,12,646000000,Ståle Solbakken,6,0,48,6
Belgium,5,3,2,0,13,5,8,11,680000000,Domenico Tedesco,5,0,50,5
Morocco,6,3,2,1,10,6,4,11,430000000,Walid Regragui,5,0,49,5
Switzerland,5,3,2,0,9,3,6,11,350000000,Murat Yakin,4,0,35,4
Colombia,5,3,2,0,5,1,4,11,420000000,Néstor Lorenzo,5,0,47,5
Brazil,5,3,1,1,10,4,6,10,928000000,Dorival Júnior,5,0,46,5
United States,5,3,0,2,11,8,3,9,385600000,Gregg Berhalter,4,0,40,4
Netherlands,4,2,2,0,11,5,6,8,754000000,Ronald Koeman,5,0,44,5
Portugal,5,2,2,1,8,3,5,8,1010000000,Roberto Martínez,6,0,52,6
Germany,4,2,1,1,11,5,6,7,947000000,Julian Nagelsmann,4,0,36,4
Canada,5,2,1,2,9,6,3,7,195000000,Jesse Marsch,3,0,30,3
Egypt,5,1,3,1,8,7,1,6,250000000,Hossam Hassan,4,0,35,4
Croatia,4,2,0,2,6,7,-1,6,380000000,Zlatko Dalić,5,0,44,5
Ivory Coast,4,2,0,2,5,4,1,6,522100000,Emerse Faé,4,0,36,4
Australia,4,1,2,1,3,3,0,5,160000000,Graham Arnold,5,0,42,5
Japan,4,1,2,1,8,5,3,5,270850000,Hajime Moriyasu,3,0,32,3
Paraguay,5,1,2,2,3,6,-3,5,165000000,Daniel Garnero,0,0,0,0
Ecuador,4,1,1,2,2,4,-2,4,368700000,Félix Sánchez Bas,0,0,0,0
Austria,4,1,1,2,6,9,-3,4,340000000,Ralf Rangnick,4,0,38,4
Sweden,4,1,1,2,7,10,-3,4,320000000,Jon Dahl Tomasson,0,0,0,0
Algeria,4,1,1,2,5,9,-4,4,210000000,Vladimir Petković,0,0,0,0
South Africa,4,1,1,2,2,4,-2,4,140000000,Hugo Broos,0,0,0,0
Bosnia and Herzegovina,4,1,1,2,5,8,-3,4,185000000,Sergej Barbarez,0,0,0,0
Ghana,4,1,1,2,2,3,-1,4,200000000,Otto Addo,0,0,0,0
Democratic Republic of the Congo,4,1,1,2,5,5,0,4,110000000,Sébastien Desabre,0,0,0,0
Senegal,4,1,0,3,10,9,1,3,420000000,Pape Thiaw,0,0,0,0
Iran,3,0,3,0,3,3,0,3,230000000,Amir Ghalenoei,0,0,0,0
Cape Verde,4,0,3,1,4,5,-1,3,120000000,Bubista,3,0,28,3
Turkey,3,1,0,2,3,5,-2,3,473000000,Vincenzo Montella,0,0,0,0
Scotland,3,1,0,2,1,4,-3,3,175000000,Steve Clarke,0,0,0,0
South Korea,3,1,0,2,2,3,-1,3,245000000,Kim Do-hoon,4,0,38,4
Uruguay,3,0,2,1,3,4,-1,2,359300000,Marcelo Bielsa,0,0,0,0
Saudi Arabia,3,0,2,1,1,5,-4,2,135000000,Hervé Renard,0,0,0,0
New Zealand,3,0,1,2,4,10,-6,1,65000000,Darren Bazeley,0,0,0,0
Curaçao,3,0,1,2,1,9,-8,1,40000000,Dick Advocaat,0,0,0,0
Qatar,3,0,1,2,2,10,-8,1,19930000,Tintín Márquez,0,0,0,0
Czech Republic,3,0,1,2,2,6,-4,1,115000000,Ivan Hašek,0,0,0,0
Iraq,3,0,0,3,1,12,-11,0,45000000,Jesús Casas,0,0,0,0
Tunisia,3,0,0,3,2,12,-10,0,155000000,Jalel Kadri,0,0,0,0
Jordan,3,0,0,3,3,8,-5,0,15980000,Hussein Ammouta,0,0,0,0
Haiti,3,0,0,3,2,8,-6,0,50000000,Sébastien Migné,0,0,0,0
Uzbekistan,3,0,0,3,2,11,-9,0,85000000,Srečko Katanec,0,0,0,0
Panama,3,0,0,3,0,4,-4,0,70000000,Thomas Christiansen,0,0,0,0
